CODE,NAME
"33UDGL","Ormesby Ward"
"33UHJP","Diss Ward"
"33UBGY","Conifer Ward"
"33UHJL","Chedgrave and Thurton Ward"
"33UFGS","Corpusty Ward"
"33UDFY","Bradwell North Ward"
"33UHHY","Rockland Ward"
"33UEHT","Priory Ward"
"33UHHU","Northfields Ward"
"33UEJH","Walton Ward"
"33UBJG","West Guiltcross Ward"
"33UCHH","Reepham Ward"
"33UHJQ","Earsham Ward"
"33UFHC","Lancaster North Ward"
"33UHJS","Harleston Ward"
"33UHJF","Thurlton Ward"
"33UGFT","Catton Grove Ward"
"33UDFZ","Bradwell South and Hopton Ward"
"33UDGP","West Flegg Ward"
"33UCHD","Horsford and Felthorpe Ward"
"33UHJT","Hethersett  Ward"
"33UHHS","New Costessey Ward"
"33UBHY","Thetford-Guildhall Ward"
"33UEHU","Rudham Ward"
"33UEJL","Wiggenhall Ward"
"33UEJM","Wimbotsham with Fincham Ward"
"33UDGB","Caister South Ward"
"C_33UGGC","Thorpe Hamlet Ward"
"C_33UDGN","Southtown and Cobholm Ward"
"C_33UFHX","Waterside Ward"
"C_33UEJK","West Winch Ward"
"C_33UBHJ","Launditch Ward"
"C_33UFGQ","Briston Ward"
"C_33UBHH","Hermitage Ward"
"C_33UBJC","Upper Yare Ward"
"C_33UEJB","South Wootton Ward"
"C_33UEHL","Hilgay with Denver Ward"
"C_33UBHC","Dereham-Toftwood Ward"
"C_33UEHJ","Grimston Ward"
"C_33UFJA","Worstead Ward"
"C_33UCHA","Hellesdon North West Ward"
"C_33UFGP","Astley Ward"
"C_33UEJG","Walpole Ward"
"C_33UEHG","Gaywood Chase Ward"
"C_33UHGZ","Bunwell Ward"
"C_33UHJN","Cromwells Ward"
"C_33UFHT","The Raynhams Ward"
"C_33UCGY","Eynesford Ward"
"C_33UBHB","Dereham-Neatherd Ward"
"C_33UCGW","Drayton North Ward"
"C_33UGFX","Lakenham Ward"
"C_33UBJH","Wissey Ward"
"C_33UHJX","Roydon Ward"
"C_33UEJD","Springwood Ward"
"C_33UBHN","Queen's Ward"
"C_33UHJR","Gillingham Ward"
"C_33UDGA","Caister North Ward"
"C_33UEHB","Downham Old Town Ward"
"C_33UHJE","Tasburgh Ward"
"C_33UBHR","Swaffham Ward"
"C_33UEHK","Heacham Ward"
"C_33UEJC","Spellowfields Ward"
"C_33UEHM","Hunstanton Ward"
"C_33UFHP","Sheringham North Ward"
"C_33UFHG","North Walsham North Ward"
"C_33UBHQ","Springvale and Scarning Ward"
"C_33UEGX","Clenchwarton Ward"
"C_33UBGX","Burgh and Haverscroft Ward"
"C_33UHJU","Loddon Ward"
"C_33UGFZ","Mile Cross Ward"
"C_33UFHN","St. Benet Ward"
"C_33UEHR","North Wootton Ward"
"C_33UCHM","Taverham North Ward"
"C_33UEGY","Denton Ward"
"C_33UBHS","Swanton Morley Ward"
"C_33UCGN","Acle Ward"
"C_33UDGG","Gorleston Ward"
"C_33UCHE","Marshes Ward"
"C_33UHJA","Rustens Ward"
