CODE,NAME
"00FYNE","Arboretum Ward"
"00FYNF","Aspley Ward"
"00FYNG","Basford Ward"
"00FYNH","Berridge Ward"
"00FYNJ","Bestwood Ward"
"00FYNK","Bilborough Ward"
"00FYNL","Bridge Ward"
"00FYNM","Bulwell Ward"
"00FYNN","Bulwell Forest Ward"
"00FYNP","Clifton North Ward"
"00FYNQ","Clifton South Ward"
"00FYNR","Dales Ward"
"00FYNS","Dunkirk and Lenton Ward"
"00FYNT","Leen Valley Ward"
"00FYNU","Mapperley Ward"
"00FYNW","Radford and Park Ward"
"00FYNX","St. Ann's Ward"
"00FYNY","Sherwood Ward"
"00FYNZ","Wollaton East and Lenton Abbey Ward"
"00FYPA","Wollaton West Ward"
"37UBFR","Hucknall Central Ward"
"37UBFS","Hucknall East Ward"
"37UBFT","Hucknall North Ward"
"37UBFU","Hucknall West Ward"
"37UBFW","Jacksdale Ward"
"37UBFX","Kirkby in Ashfield Central Ward"
"37UBFY","Kirkby in Ashfield East Ward"
"37UBFZ","Kirkby in Ashfield West Ward"
"37UBGA","Selston Ward"
"37UBGB","Sutton in Ashfield Central Ward"
"37UBGC","Sutton in Ashfield East Ward"
"37UBGD","Sutton in Ashfield North Ward"
"37UBGE","Sutton in Ashfield West Ward"
"37UBGF","Underwood Ward"
"37UBGG","Woodhouse Ward"
"37UCGE","Beckingham Ward"
"37UCGF","Blyth Ward"
"37UCGG","Carlton Ward"
"37UCGH","Clayworth Ward"
"37UCGJ","East Markham Ward"
"37UCGK","East Retford East Ward"
"37UCGL","East Retford North Ward"
"37UCGM","East Retford South Ward"
"37UCGN","East Retford West Ward"
"37UCGP","Everton Ward"
"37UCGQ","Harworth Ward"
"37UCGR","Langold Ward"
"37UCGS","Misterton Ward"
"37UCGT","Rampton Ward"
"37UCGU","Ranskill Ward"
"37UCGW","Sturton Ward"
"37UCGX","Sutton Ward"
"37UCGY","Tuxford and Trent Ward"
"37UCGZ","Welbeck Ward"
"37UCHA","Worksop East Ward"
"37UCHB","Worksop North Ward"
"37UCHC","Worksop North East Ward"
"37UCHD","Worksop North West Ward"
"37UCHE","Worksop South Ward"
"37UCHF","Worksop South East Ward"
"37UDFY","Attenborough Ward"
"37UDFZ","Awsworth Ward"
"37UDGA","Beeston Central Ward"
"37UDGB","Beeston North Ward"
"37UDGC","Beeston Rylands Ward"
"37UDGD","Beeston West Ward"
"37UDGE","Bramcote Ward"
"37UDGF","Brinsley Ward"
"37UDGG","Chilwell East Ward"
"37UDGH","Chilwell West Ward"
"37UDGJ","Cossall and Kimberley Ward"
