CODE,NAME
"C_00FYNG","Basford Ward"
"C_00FYNH","Berridge Ward"
"C_00FYNJ","Bestwood Ward"
"C_00FYNK","Bilborough Ward"
"C_00FYNL","Bridge Ward"
"C_00FYNM","Bulwell Ward"
"C_00FYNN","Bulwell Forest Ward"
"C_00FYNP","Clifton North Ward"
"C_00FYNQ","Clifton South Ward"
"C_00FYNR","Dales Ward"
"C_00FYNS","Dunkirk and Lenton Ward"
"C_00FYNT","Leen Valley Ward"
"C_00FYNU","Mapperley Ward"
"C_00FYNW","Radford and Park Ward"
"C_00FYNX","St. Ann's Ward"
"C_00FYNY","Sherwood Ward"
"C_00FYNZ","Wollaton East and Lenton Abbey Ward"
"C_00FYPA","Wollaton West Ward"
"C_37UBFR","Hucknall Central Ward"
"C_37UBFS","Hucknall East Ward"
"C_37UBFT","Hucknall North Ward"
"C_37UBFU","Hucknall West Ward"
"C_37UBFW","Jacksdale Ward"
"C_37UBFX","Kirkby in Ashfield Central Ward"
"C_37UBFY","Kirkby in Ashfield East Ward"
"C_37UBFZ","Kirkby in Ashfield West Ward"
"C_37UBGA","Selston Ward"
"C_37UBGB","Sutton in Ashfield Central Ward"
"C_37UBGC","Sutton in Ashfield East Ward"
"C_37UBGD","Sutton in Ashfield North Ward"
"C_37UBGE","Sutton in Ashfield West Ward"
"C_37UBGF","Underwood Ward"
"C_37UBGG","Woodhouse Ward"
"C_37UCGE","Beckingham Ward"
"C_37UCGF","Blyth Ward"
"C_37UCGG","Carlton Ward"
"C_37UCGH","Clayworth Ward"
"C_37UCGJ","East Markham Ward"
"C_37UCGK","East Retford East Ward"
"C_37UCGL","East Retford North Ward"
"C_37UCGM","East Retford South Ward"
"C_37UCGN","East Retford West Ward"
"C_37UCGP","Everton Ward"
"C_37UCGQ","Harworth Ward"
"C_37UCGR","Langold Ward"
"C_37UCGS","Misterton Ward"
"C_37UCGT","Rampton Ward"
"C_37UCGU","Ranskill Ward"
"C_37UCGW","Sturton Ward"
"C_37UCGX","Sutton Ward"
"C_37UCGY","Tuxford and Trent Ward"
"C_37UCGZ","Welbeck Ward"
"C_37UCHA","Worksop East Ward"
"C_37UCHB","Worksop North Ward"
"C_37UCHC","Worksop North East Ward"
"C_37UCHD","Worksop North West Ward"
"C_37UCHE","Worksop South Ward"
"C_37UCHF","Worksop South East Ward"
"C_37UDFY","Attenborough Ward"
"C_37UDFZ","Awsworth Ward"
"C_37UDGA","Beeston Central Ward"
"C_37UDGB","Beeston North Ward"
"C_37UDGC","Beeston Rylands Ward"
"C_37UDGD","Beeston West Ward"
"C_37UDGE","Bramcote Ward"
"C_37UDGF","Brinsley Ward"
"C_37UDGG","Chilwell East Ward"
"C_37UDGH","Chilwell West Ward"
"C_37UDGJ","Cossall and Kimberley Ward"
"C_37UDGK","Eastwood North and Greasley (Beauvale) Ward"
"C_37UDGL","Eastwood South Ward"
"C_37UDGM","Greasley (Giltbrook and Newthorpe) Ward"
"C_37UDGN","Nuthall East and Strelley Ward"
"C_37UDGP","Nuthall West and Greasley (Watnall) Ward"
"C_37UDGQ","Stapleford North Ward"
"C_37UDGR","Stapleford South East Ward"
"C_37UDGS","Stapleford South West Ward"
"C_37UDGT","Toton and Chilwell Meadows Ward"
"C_37UDGU","Trowell Ward"
"C_37UEGB","Bestwood Village Ward"
"C_37UEGC","Bonington Ward"
"C_37UEGD","Burton Joyce and Stoke Bardolph Ward"
"C_37UEGE","Calverton Ward"
"C_37UEGF","Carlton Ward"
"C_37UEGG","Carlton Hill Ward"
"C_37UEGH","Daybrook Ward"
"C_37UEGJ","Gedling Ward"
"C_37UEGK","Killisick Ward"
"C_37UEGL","Kingswell Ward"
"C_37UEGM","Lambley Ward"
"C_37UEGN","Mapperley Plains Ward"
"C_37UEGP","Netherfield and Colwick Ward"
"C_37UEGQ","Newstead Ward"
"C_37UEGR","Phoenix Ward"
"C_37UEGS","Porchester Ward"
"C_37UEGT","Ravenshead Ward"
"C_37UEGU","St. James Ward"
"C_37UEGW","St. Mary's Ward"
"C_37UEGX","Valley Ward"
"C_37UEGY","Woodborough Ward"
"C_37UEGZ","Woodthorpe Ward"
"C_37UFFU","Berry Hill Ward"
"C_37UFFW","Birklands Ward"
"C_37UFFX","Broomhill Ward"
"C_37UFFY","Cumberlands Ward"
"C_37UFFZ","Eakring Ward"
"C_37UFGA","Forest Town East Ward"
"C_37UFGB","Forest Town West Ward"
"C_37UFGC","Grange Farm Ward"
"C_37UFGD","Ladybrook Ward"
"C_37UFGE","Leeming Ward"
"C_37UFGF","Lindhurst Ward"
"C_37UFGG","Meden Ward"
"C_37UFGH","Oak Tree Ward"
"C_37UFGJ","Pleasley Hill Ward"
"C_37UFGK","Portland Ward"
"C_37UFGL","Priory Ward"
"C_37UFGM","Ravensdale Ward"
"C_37UFGN","Robin Hood Ward"
"C_37UFGP","Sherwood Ward"
"C_37UGHL","Balderton North Ward"
"C_37UGHM","Balderton West Ward"
"C_37UGHN","Beacon Ward"
"C_37UGHP","Blidworth Ward"
"C_37UGHQ","Boughton Ward"
"C_37UGHR","Bridge Ward"
"C_37UGHS","Castle Ward"
"C_37UGHT","Caunton Ward"
"C_37UGHU","Clipstone Ward"
"C_37UGHW","Collingham and Meering Ward"
"C_37UGHX","Devon Ward"
"C_37UGHY","Edwinstowe Ward"
"C_37UGHZ","Farndon Ward"
"C_37UGJA","Farnsfield and Bilsthorpe Ward"
"C_37UGJB","Lowdham Ward"
"C_37UGJC","Magnus Ward"
"C_37UGJD","Muskham Ward"
"C_37UGJE","Ollerton Ward"
"C_37UGJF","Rainworth Ward"
"C_37UGJG","Southwell East Ward"
"C_37UGJH","Southwell North Ward"
"C_37UGJJ","Southwell West Ward"
"C_37UGJK","Sutton-on-Trent Ward"
"C_37UGJL","Trent Ward"
"C_37UGJM","Winthorpe Ward"
"C_37UJGG","Abbey Ward"
"C_37UJGH","Bingham East Ward"
"C_37UJGJ","Bingham West Ward"
"C_37UJGK","Compton Acres Ward"
"C_37UJGL","Cotgrave Ward"
"C_37UJGM","Cranmer Ward"
"C_37UJGN","Edwalton Village Ward"
"C_37UJGP","Gamston Ward"
"C_37UJGQ","Gotham Ward"
"C_37UJGR","Keyworth North Ward"
"C_37UJGS","Keyworth South Ward"
"C_37UJGT","Lady Bay Ward"
"C_37UJGU","Leake Ward"
"C_37UJGW","Lutterell Ward"
"C_37UJGX","Manvers Ward"
"C_37UJGY","Melton Ward"
"C_37UJGZ","Musters Ward"
"C_37UJHA","Nevile Ward"
"C_37UJHB","Oak Ward"
"C_37UJHC","Ruddington Ward"
"C_37UJHD","Soar Valley Ward"
"C_37UJHE","Stanford Ward"
"C_37UJHF","Thoroton Ward"
"C_37UJHG","Tollerton Ward"
"C_37UJHH","Trent Ward"
"C_37UJHJ","Trent Bridge Ward"
"C_37UJHK","Wiverton Ward"
"C_37UJHL","Wolds Ward"
